vote_id;vote_date;question;issue;title;yeas;nays
00075;17-May;On the Cloture Motion;H.R. 2577;Motion to Invoke Cloture on Blunt Amdt. No. 3900, Zika response and preparedness.;68;29
00074;17-May;On the Cloture Motion;H.R. 2577;Motion to Invoke Cloture on Cornyn Amdt. No. 3899, Making emergency supplemental appropriations for the fiscal year ending September 30, 2016, and for other purposes.;52;45
00073;17-May;On the Cloture Motion;H.R. 2577;Motion to Invoke Cloture on Nelson Amdt. No. 3898, Making supplemental appropriations for fiscal year 2016 to respond to Zika virus.;50;47
00072;16-May;On the Nomination;PN327;Confirmation Paula Xinis, of Maryland, to be U.S. District Judge;53;34
00071;12-May;On Passage of the Bill;H.R. 2028;H.R. 2028 As Amended, A bill making appropriations for energy and water development and related agencies for the fiscal year ending September 30, 2016, and for other purposes.;90;8
00070;11-May;On the Amendment;H.R. 2028;Fischer Amdt. No. 3888, To provide for the operation of reservoir projects by the Bureau of Reclamation.;51;48
00069;11-May;On the Amendment;H.R. 2028;Cardin Amdt. No. 3871, To use Federal and State expertise to mitigate fish and wildlife impacts at Corps of Engineers projects.;39;60
00068;11-May;On the Cloture Motion;H.R. 2028;Motion to Invoke Cloture on Amdt. No. 3801 to H.R. 2028, In the nature of a substitute.;97;2
00067;11-May;On the Cloture Motion;H.R. 2028;Motion to Invoke Cloture on Amdt. No. 3878 to Amdt. No. 3801 to H.R. 2028, Of a perfecting nature.;57;42
00066;09-May;On the Cloture Motion;H.R. 2028;Motion to Invoke Cloture on Amdt. No. 3801 to H.R. 2028, In the nature of a substitute.;50;42
00065;28-Apr;On the Cloture Motion;H.R. 2028;Motion to Invoke Cloture Re: Alexander Amdt. No. 3801, Upon Reconsideration, In the nature of a substitute.;52;43
00064;27-Apr;On the Cloture Motion;H.R. 2028;Motion to Invoke Cloture Re: Alexander Amdt. No. 3801, In the nature of a substitute.;50;46
00063;26-Apr;On the Amendment;H.R. 2028;Flake Amdt. No. 3820, To withhold certain funds for the construction of environmental infrastructure.;12;84
00062;26-Apr;On the Amendment;H.R. 2028;Reid Amdt. No. 3805, To make funding for water management improvement subject to a condition.;73;23
00061;26-Apr;On the Amendment;H.R. 2028;Merkley Amdt. No. 3812, To provide for funding for wind energy.;54;42
00060;25-Apr;On the Amendment;H.R. 2028;Murray Amdt. No. 3813, To add a provision relating to certain requirements in the acquisition of welded shipboard anchor and mooring chain.;55;38
00059;21-Apr;On the Amendment;H.R. 2028;Franken Amdt. No. 3833, To provide funding for the Tribal Energy Loan Guarantee Program.;76;19
00058;21-Apr;On the Amendment;H.R. 2028;Coats Amdt. No. 3814, To limit the use of funds made available for the Advanced Technology Vehicles Manufacturing Loan Program.;48;49
00057;21-Apr;On the Amendment;H.R. 2028;Hoeven Amdt. No. 3811, To prohibit the use of funds relating to a certain definition.;56;42
00056;20-Apr;On the Amendment;H.R. 2028;Ernst Amdt. No. 3803, To eliminate funding for the Appalachian Regional Commission, the Delta Regional Authority, the Denali Commission, and the Northern Border Regional Commission.;25;71
00055;20-Apr;On the Amendment;H.R. 2028;Schatz Amdt. No. 3802, To modify funding for certain projects of the Department of Energy.;70;26
00054;20-Apr;On Passage of the Bill;S. 2012;S. 2012, As Amended, An original bill to provide for the modernization of the energy policy of the United States, and for other purposes.;85;12
00053;19-Apr;On the Motion;S. 2012;Motion to Waive All Applicable Budgetary Discipline Re: Paul Amdt. No. 3787, To provide for the establishment of free market enterprise zones in order to help facilitate the creation of new jobs, entrepreneurial opportunities, enhanced and renewed educational opportunities, and increased community involvement in bankrupt or economically distressed areas.;33;64
00052;19-Apr;On the Amendment;S. 2012;Udall Amdt. No. 3312, To require the Secretary of the Treasury to develop a plan for issuance of Clean Energy Victory Bonds.;50;47
00051;19-Apr;On the Amendment;S. 2012;Boozman Amdt. No. 3311, To require a report relating to certain transmission infrastructure projects.;42;55
00050;19-Apr;On the Amendment;S. 2012;Lankford Amdt. No. 3210, To add provisions relating to acquisition of Federal land under the Land and Water Conservation Fund.;34;63
00049;19-Apr;On the Amendment;S. 2012;Isakson Amdt. No. 3202, To improve the accuracy of mortgage underwriting used by the Federal Housing Administration by ensuring that energy costs are included in the underwriting process, to reduce the amount of energy consumed by homes, to facilitate the creation of energy efficiency retrofit and construction jobs, and for other purposes.;66;31
00048;19-Apr;On the Amendment;S. 2012;Murkowski Amdt. No. 3234 As Modified, To add certain provisions relating to natural resources.;97;0
00047;19-Apr;On Passage of the Bill;H.R. 636;H.R. 636 As Amended, To amend title 49, United States Code, to extend authorizations for the airport improvement program, to amend the Internal Revenue Code of 1986 to extend the funding and expenditure authority of the Airport and Airway Trust Fund, and for other purposes.;95;3
00046;18-Apr;On the Cloture Motion;H.R. 636;Motion to Invoke Cloture on H.R. 636, To amend title 49, United States Code, to extend authorizations for the airport improvement program, to amend the Internal Revenue Code of 1986 to extend the funding and expenditure authority of the Airport and Airway Trust Fund, and for other purposes.;89;5
00045;14-Apr;On the Cloture Motion;H.R. 636;Motion to Invoke Cloture on Amdt. No. 3679, In the nature of a substitute.;94;4
00044;11-Apr;On the Nomination;PN153;Confirmation Waverly D. Crenshaw, Jr., of Tennessee, to be U.S. District Judge for the Middle District of Tennessee;92;0
00043;07-Apr;On the Amendment;H.R. 636;Schumer Amdt. No. 3483, To require the Federal Aviation Administration to establish minimum standards for space for passengers on passenger aircraft.;42;54
00042;07-Apr;On the Amendment;H.R. 636;Heinrich Amdt. No. 3482 As Modified, To expand and enhance visible deterrents at major transportation hubs and to increase the resources to protect and secure the United States.;91;5
00041;07-Apr;On the Amendment;H.R. 636;Thune Amdt. No. 3512 As Modified, To enhance airport security, and for other purposes.;85;10
00040;06-Apr;On Cloture on the Motion to Proceed;H.R. 636;Motion to Invoke Cloture on the Motion to Proceed to H.R. 636, To amend title 49, United States Code, to extend authorizations for the airport improvement program, to amend the Internal Revenue Code of 1986 to extend the funding and expenditure authority of the Airport and Airway Trust Fund, and for other purposes.;98;0
00039;04-Apr;On Passage of the Bill;S. 1890;S. 1890 As Amended, A bill to amend chapter 90 of title 18, United States Code, to provide Federal jurisdiction for the theft of trade secrets, and for other purposes.;87;0
00038;17-Mar;On the Resolution;S.Res. 377;S. Res. 377, An original resolution directing the Senate Legal Counsel to bring a civil action to enforce a subpoena of the Permanent Subcommittee on Investigations.;96;0
